,image,label
0,"[[[188 188 188]
  [182 182 182]
  [175 175 175]
  ...
  [205 205 205]
  [205 205 205]
  [205 205 205]]

 [[185 185 185]
  [177 177 177]
  [167 167 167]
  ...
  [205 205 205]
  [205 205 205]
  [205 205 205]]

 [[181 181 181]
  [172 172 172]
  [160 160 160]
  ...
  [204 204 204]
  [205 205 205]
  [205 205 205]]

 ...

 [[199 199 199]
  [199 199 199]
  [198 198 198]
  ...
  [198 198 198]
  [199 199 199]
  [200 200 200]]

 [[199 199 199]
  [199 199 199]
  [199 199 199]
  ...
  [199 199 199]
  [200 200 200]
  [200 200 200]]

 [[199 199 199]
  [199 199 199]
  [199 199 199]
  ...
  [199 199 199]
  [200 200 200]
  [200 200 200]]]",0
1,"[[[191 191 191]
  [188 188 188]
  [185 185 185]
  ...
  [195 195 195]
  [195 195 195]
  [196 196 196]]

 [[190 190 190]
  [187 187 187]
  [182 182 182]
  ...
  [196 196 196]
  [196 196 196]
  [195 195 195]]

 [[189 189 189]
  [186 186 186]
  [179 179 179]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 ...

 [[191 191 191]
  [190 190 190]
  [190 190 190]
  ...
  [188 188 188]
  [189 189 189]
  [190 190 190]]

 [[192 192 192]
  [191 191 191]
  [191 191 191]
  ...
  [189 189 189]
  [190 190 190]
  [191 191 191]]

 [[193 193 193]
  [192 192 192]
  [191 191 191]
  ...
  [190 190 190]
  [191 191 191]
  [192 192 192]]]",0
2,"[[[186 186 186]
  [183 183 183]
  [180 180 180]
  ...
  [193 193 193]
  [193 193 193]
  [193 193 193]]

 [[185 185 185]
  [182 182 182]
  [178 178 178]
  ...
  [193 193 193]
  [193 193 193]
  [193 193 193]]

 [[185 185 185]
  [181 181 181]
  [177 177 177]
  ...
  [193 193 193]
  [193 193 193]
  [194 194 194]]

 ...

 [[187 187 187]
  [187 187 187]
  [186 186 186]
  ...
  [185 185 185]
  [186 186 186]
  [187 187 187]]

 [[188 188 188]
  [187 187 187]
  [186 186 186]
  ...
  [186 186 186]
  [187 187 187]
  [188 188 188]]

 [[188 188 188]
  [187 187 187]
  [187 187 187]
  ...
  [187 187 187]
  [188 188 188]
  [188 188 188]]]",0
3,"[[[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 ...

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [188 188 188]
  [188 188 188]
  [189 189 189]]

 [[191 191 191]
  [192 192 192]
  [191 191 191]
  ...
  [188 188 188]
  [189 189 189]
  [189 189 189]]

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [189 189 189]
  [189 189 189]
  [189 189 189]]]",0
4,"[[[197 197 197]
  [197 197 197]
  [197 197 197]
  ...
  [196 196 196]
  [195 195 195]
  [195 195 195]]

 [[197 197 197]
  [197 197 197]
  [197 197 197]
  ...
  [196 196 196]
  [195 195 195]
  [195 195 195]]

 [[196 196 196]
  [196 196 196]
  [196 196 196]
  ...
  [196 196 196]
  [195 195 195]
  [195 195 195]]

 ...

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [189 189 189]
  [190 190 190]
  [191 191 191]]

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [190 190 190]
  [190 190 190]
  [191 191 191]]

 [[192 192 192]
  [191 191 191]
  [191 191 191]
  ...
  [190 190 190]
  [190 190 190]
  [191 191 191]]]",0
5,"[[[195 195 195]
  [194 194 194]
  [192 192 192]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 [[195 195 195]
  [193 193 193]
  [191 191 191]
  ...
  [196 196 196]
  [196 196 196]
  [196 196 196]]

 [[195 195 195]
  [193 193 193]
  [191 191 191]
  ...
  [196 196 196]
  [197 197 197]
  [197 197 197]]

 ...

 [[194 194 194]
  [193 193 193]
  [192 192 192]
  ...
  [190 190 190]
  [190 190 190]
  [191 191 191]]

 [[194 194 194]
  [193 193 193]
  [192 192 192]
  ...
  [191 191 191]
  [191 191 191]
  [191 191 191]]

 [[194 194 194]
  [193 193 193]
  [192 192 192]
  ...
  [191 191 191]
  [191 191 191]
  [191 191 191]]]",0
6,"[[[195 195 195]
  [195 195 195]
  [195 195 195]
  ...
  [194 194 194]
  [194 194 194]
  [194 194 194]]

 [[195 195 195]
  [195 195 195]
  [195 195 195]
  ...
  [195 195 195]
  [194 194 194]
  [194 194 194]]

 [[195 195 195]
  [195 195 195]
  [195 195 195]
  ...
  [195 195 195]
  [194 194 194]
  [194 194 194]]

 ...

 [[191 191 191]
  [191 191 191]
  [191 191 191]
  ...
  [188 188 188]
  [189 189 189]
  [190 190 190]]

 [[191 191 191]
  [191 191 191]
  [190 190 190]
  ...
  [188 188 188]
  [189 189 189]
  [190 190 190]]

 [[191 191 191]
  [191 191 191]
  [190 190 190]
  ...
  [189 189 189]
  [190 190 190]
  [191 191 191]]]",0
7,"[[[188 188 188]
  [187 187 187]
  [185 185 185]
  ...
  [192 192 192]
  [192 192 192]
  [192 192 192]]

 [[187 187 187]
  [185 185 185]
  [182 182 182]
  ...
  [192 192 192]
  [192 192 192]
  [192 192 192]]

 [[186 186 186]
  [183 183 183]
  [179 179 179]
  ...
  [192 192 192]
  [192 192 192]
  [192 192 192]]

 ...

 [[184 184 184]
  [184 184 184]
  [184 184 184]
  ...
  [185 185 185]
  [185 185 185]
  [186 186 186]]

 [[185 185 185]
  [185 185 185]
  [185 185 185]
  ...
  [185 185 185]
  [186 186 186]
  [186 186 186]]

 [[185 185 185]
  [185 185 185]
  [185 185 185]
  ...
  [185 185 185]
  [186 186 186]
  [186 186 186]]]",0
8,"[[[189 189 189]
  [188 188 188]
  [185 185 185]
  ...
  [192 192 192]
  [193 193 193]
  [193 193 193]]

 [[189 189 189]
  [187 187 187]
  [184 184 184]
  ...
  [192 192 192]
  [193 193 193]
  [193 193 193]]

 [[188 188 188]
  [186 186 186]
  [183 183 183]
  ...
  [192 192 192]
  [192 192 192]
  [193 193 193]]

 ...

 [[188 188 188]
  [187 187 187]
  [186 186 186]
  ...
  [184 184 184]
  [185 185 185]
  [186 186 186]]

 [[188 188 188]
  [187 187 187]
  [186 186 186]
  ...
  [184 184 184]
  [185 185 185]
  [186 186 186]]

 [[188 188 188]
  [188 188 188]
  [187 187 187]
  ...
  [185 185 185]
  [186 186 186]
  [186 186 186]]]",0
9,"[[[194 194 194]
  [194 194 194]
  [193 193 193]
  ...
  [193 193 193]
  [193 193 193]
  [194 194 194]]

 [[193 193 193]
  [193 193 193]
  [192 192 192]
  ...
  [193 193 193]
  [193 193 193]
  [194 194 194]]

 [[192 192 192]
  [192 192 192]
  [191 191 191]
  ...
  [193 193 193]
  [193 193 193]
  [193 193 193]]

 ...

 [[188 188 188]
  [188 188 188]
  [187 187 187]
  ...
  [189 189 189]
  [188 188 188]
  [188 188 188]]

 [[189 189 189]
  [188 188 188]
  [188 188 188]
  ...
  [189 189 189]
  [189 189 189]
  [189 189 189]]

 [[189 189 189]
  [189 189 189]
  [188 188 188]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]]",0
